model_key,model,auc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
logistic_regression,逻辑回归,0.6315370899408329,0.6035109916179029,0.6035119571805414,0.6021875,0.609617209743752,0.6058795786825971,3778,2546,2468,3854
random_forest,随机森林,0.6145670690845758,0.5839000474458327,0.5839036638218675,0.5801572897761645,0.6067700094906675,0.5931653007576929,3548,2776,2486,3836
decision_tree,决策树,0.5914383693900661,0.5664241657441088,0.5664247176761532,0.5658866027956652,0.5699145839924075,0.567893451020569,3560,2764,2719,3603
