model_key,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,average_turnover
logistic_regression,逻辑回归,-0.029964579696341476,-0.03975189944602753,0.036029135326816564,-1.1033264907814788,-0.0348138384756439,0.3333333333333333,0.6207086224810121
random_forest,随机森林,-0.059129612858167646,-0.07805205686624583,0.032023598970906404,-2.437329325075439,-0.04108145649221473,0.0,0.6459017425719836
decision_tree,决策树,-0.11214640426905742,-0.1466605756908005,0.017753998180230917,-8.26070692370055,-0.07564005328479995,0.0,0.875930311534738
benchmark,全市场等权,-0.19838149026874896,-0.25534178964075704,0.08120344567785884,-3.144469886828697,-0.12089000988002685,0.0,0.0
